id,word,meaning,level
1,answer,～に答える,elementary
2,ate,eat の過去形,elementary
3,brush,～を磨く,elementary
4,buy,～を買う,elementary
5,check,～を調べる,elementary
6,clean,～を掃除する、きれいな,elementary
7,cook,（～を）料理する、料理人,elementary
8,dance,（～を）踊る,elementary
9,do,～をする、［疑問文と応答に用いる］,elementary
10,draw,（～を）描く,elementary
11,drink,～を飲む、飲みもの,elementary
12,eat,～を食べる,elementary
13,enjoy,～を楽しむ,elementary
14,get,～を得る、～になる,elementary
15,go,行く,elementary
16,have,～を持っている,elementary
17,help,～を手伝う,elementary
18,join,～に参加する,elementary
19,jump,跳ぶ,elementary
20,leave,（～を）出発する、～を残す,elementary
21,like,～を好む,elementary
22,listen,聞く,elementary
23,look,見る,elementary
24,make,～をつくる,elementary
25,meet,～に会う,elementary
26,play,～をする、～を弾く,elementary
27,practice,練習する、練習,elementary
28,put,～を置く,elementary
29,read,（～を）読む,elementary
30,ride,～に乗る,elementary
31,run,走る,elementary
32,saw,see の過去形,elementary
33,see,～を見る、～に会う,elementary
34,sing,（～を）歌う,elementary
35,sit,すわる,elementary
36,skate,スケートをする,elementary
37,ski,スキーをする,elementary
38,snowboard,スノーボードをする,elementary
39,speak,（～を）話す,elementary
40,spell,～をつづる,elementary
41,start,～を始める,elementary
42,stop,～を止める,elementary
43,study,（～を）勉強する,elementary
44,swim,泳ぐ,elementary
45,take,～をとる、（ふろに）入る,elementary
46,teach,～を教える,elementary
47,thank,～に感謝する,elementary
48,think,～と思う、考える,elementary
49,try,（～を）試す,elementary
50,turn,曲がる,elementary
51,visit,～を訪れる,elementary
52,walk,歩く、～を散歩させる,elementary
53,want,~がほしい,elementary
54,wash,～を洗う,elementary
55,watch,～を見る、腕時計,elementary
56,went,goの過去形,elementary
57,write,～を書く,elementary
58,active,活発な,elementary
59,again,もう一度、再び,elementary
60,always,いつでも,elementary
61,at,～に,elementary
62,beautiful,美しい,elementary
63,best,最もよい,elementary
64,big,大きい,elementary
65,busy,忙しい,elementary
66,by,～のそばに,elementary
67,cloudy,曇った,elementary
68,cold,冷たい、寒い,elementary
69,cool,すずしい、かっこいい,elementary
70,cute,かわいい,elementary
71,delicious,おいしい,elementary
72,down,下に［へ］,elementary
73,exciting,わくわくさせるような,elementary
74,famous,有名な,elementary
75,fast,速く,elementary
76,favorite,お気に入りの,elementary
77,fine,元気な,elementary
78,fresh,新鮮な,elementary
79,friendly,友達にふさわしい、親切な,elementary
80,from,～出身の、～から,elementary
81,fun,おもしろさ、楽しい,elementary
82,funny,おもしろい,elementary
83,good,よい、じょうずな,elementary
84,great,すばらしい,elementary
85,happy,幸せな,elementary
86,hard,一生懸命に、困難な,elementary
87,here,ここに［で］,elementary
88,high,高い,elementary
89,hot,暑い、熱い,elementary
90,hungry,空腹な,elementary
91,in,～（の中）に,elementary
92,interesting,おもしろい,elementary
93,kind,親切な,elementary
94,left,左（へ）,elementary
95,long,長い,elementary
96,many,たくさんの,elementary
97,much,たいへん、たくさん,elementary
98,never,決して～しない,elementary
99,new,新しい,elementary
100,nice,よい、すてきな,elementary
101,old,古い、年老いた,elementary
102,on,～（の上）に,elementary
103,popular,人気がある,elementary
104,rainy,雨の、雨降りの,elementary
105,really,本当に,elementary
106,right,右（へ）、正しい,elementary
107,sad,悲しい,elementary
108,short,短い,elementary
109,sleepy,眠い、眠そうな,elementary
110,small,小さい,elementary
111,smart,賢い,elementary
112,snowy,雪の降る,elementary
113,soft,柔らかい,elementary
114,sometimes,ときどき,elementary
115,straight,まっすぐ,elementary
116,strong,強い,elementary
117,sunny,晴れた,elementary
118,sweet,甘い,elementary
119,tired,疲れた,elementary
120,under,～の（真）下の［に］,elementary
121,up,上に［へ］,elementary
122,usually,ふつうは,elementary
123,very,とても、非常に,elementary
124,well,じょうずに,elementary
125,wonderful,すばらしい,elementary
126,coffee,コーヒー,elementary
127,green tea,緑茶,elementary
128,juice,ジュース,elementary
129,milk,牛乳,elementary
130,mineral water,ミネラル・ウォーター,elementary
131,tea,お茶、紅茶,elementary
132,water,水,elementary
133,apple,リンゴ,elementary
134,banana,バナナ,elementary
135,beef,牛肉,elementary
136,bread,パン,elementary
137,breakfast,朝食,elementary
138,cabbage,キャベツ,elementary
139,cake,ケーキ,elementary
140,carrot,ニンジン,elementary
141,cheese,チーズ,elementary
142,cherry,サクランボ,elementary
143,chocolate,チョコレート,elementary
144,corn,トウモロコシ,elementary
145,cucumber,キュウリ,elementary
146,curry,カレー,elementary
147,curry and rice,カレーライス,elementary
148,dessert,デザート,elementary
149,dinner,夕食,elementary
150,egg,卵,elementary
151,food,食べもの,elementary
152,French fries,フライド・ポテト,elementary
153,fried chicken,フライド・チキン,elementary
154,fruit,くだもの,elementary
155,grape,ブドウ,elementary
156,green pepper,ピーマン,elementary
157,hamburger,ハンバーガー,elementary
158,ice cream,アイス・クリーム,elementary
159,jam,ジャム,elementary
160,kiwi fruit,キウイ・フルーツ,elementary
161,lemon,レモン,elementary
162,lettuce,レタス,elementary
163,lunch,昼食,elementary
164,melon,メロン,elementary
165,menu,メニュー,elementary
166,mushroom,キノコ,elementary
167,noodle,麺類,elementary
168,nut,木の実、ナッツ,elementary
169,omelet,オムレツ,elementary
170,onion,タマネギ,elementary
171,orange,オレンジ、オレンジ色 （の）,elementary
172,parfait,パフェ,elementary
173,peach,モモ,elementary
174,pie,パイ,elementary
175,pineapple,パイナップル,elementary
176,pizza,ピザ,elementary
177,popcorn,ポップコーン,elementary
178,potato,ジャガイモ,elementary
179,pudding,プリン,elementary
180,rice,米、ごはん,elementary
181,rice ball,おにぎり,elementary
182,salad,サラダ,elementary
183,sandwich,サンドイッチ,elementary
184,sausage,ソーセージ,elementary
185,shaved ice,かき氷,elementary
186,snack,軽食,elementary
187,soup,スープ,elementary
188,spaghetti,スパゲッティ,elementary
189,steak,ステーキ,elementary
190,strawberry,イチゴ,elementary
191,tomato,トマト,elementary
192,vegetable,野菜,elementary
193,watermelon,スイカ,elementary
194,activity,活動,elementary
195,art,美術、芸術,elementary
196,arts and crafts,図工,elementary
197,calligraphy,書写、書道,elementary
198,chair,いす,elementary
199,class,授業、クラス,elementary
200,classroom,教室,elementary
201,club,～部、クラブ,elementary
202,club activity,部活動,elementary
203,desk,机,elementary
204,drama,演劇、ドラマ,elementary
205,English,英語（の）,elementary
206,entrance ceremony,入学式,elementary
207,eraser,消しゴム,elementary
208,field trip,校外見学,elementary
209,glue,のり,elementary
210,graduation ceremony,卒業式,elementary
211,gym,体育館,elementary
212,hint,ヒント,elementary
213,home economics,家庭科,elementary
214,homework,宿題,elementary
215,Japanese,国語、日本語（の）,elementary
216,jump rope,縄跳び（の縄）,elementary
217,junior high school,中学校,elementary
218,lesson,課,elementary
219,magnet,磁石,elementary
220,marker,マーカー,elementary
221,math,算数、数学,elementary
222,memory,思い出、記憶,elementary
223,moral education,道徳,elementary
224,music,音楽,elementary
225,name,名前,elementary
226,notebook,ノート,elementary
227,Ρ.Ε.,体育,elementary
228,pen,ペン,elementary
229,pencil,鉛筆,elementary
230,pencil case,筆入れ,elementary
231,pencil sharpener,鉛筆削り,elementary
232,playground,運動場、遊び場,elementary
233,question,質問、問い,elementary
234,restroom,トイレ、洗面所,elementary
235,ruler,定規,elementary
236,school trip,修学旅行,elementary
237,science,理科、科学,elementary
238,scissors,はさみ,elementary
239,social studies,社会,elementary
240,stapler,ホッチキス,elementary
241,stationery,文房具,elementary
242,subject,教科,elementary
243,team,チーム,elementary
244,test,試験,elementary
245,beach,海辺、浜辺,elementary
246,bicycle,自転車,elementary
247,bridge,橋,elementary
248,bus,バス,elementary
249,car,車,elementary
250,city,都市、市、市の,elementary
251,flower,花,elementary
252,jet,ジェット機,elementary
253,lake,湖,elementary
254,moon,(天体の)月,elementary
255,mountain,山,elementary
256,nature,自然,elementary
257,park,公園,elementary
258,place,場所,elementary
259,rain,雨,elementary
260,rainbow,虹,elementary
261,river,川,elementary
262,sea,海,elementary
263,snow,雪,elementary
264,street,通り,elementary
265,sun,太陽,elementary
266,taxi,タクシー,elementary
267,town,町,elementary
268,tree,木,elementary
269,unicycle,一輪車,elementary
270,amusement park,遊園地,elementary
271,aquarium,水族館,elementary
272,bookstore,書店,elementary
273,castle,城,elementary
274,convenience store,コンビニエンス・ストア,elementary
275,department store,デパート,elementary
276,fire station,消防署,elementary
277,gas station,ガソリンスタンド,elementary
278,hospital,病院,elementary
279,library,図書館,elementary
280,museum,博物館、美術館,elementary
281,office,事務所,elementary
282,police station,警察署,elementary
283,post office,郵便局,elementary
284,restaurant,レストラン,elementary
285,school,学校,elementary
286,shop,店,elementary
287,shrine,神社,elementary
288,station,駅,elementary
289,supermarket,スーパーマーケット,elementary
290,temple,寺,elementary
291,zoo,動物園,elementary
292,artist,芸術家,elementary
293,astronaut,宇宙飛行士,elementary
294,baker,パン職人,elementary
295,comedian,コメディアン,elementary
296,dentist,歯科医,elementary
297,doctor,医者,elementary
298,driver,運転手,elementary
299,farmer,農業経営者,elementary
300,figure skater,フィギュアスケート選手,elementary
301,firefighter (=fire fighter),消防士,elementary
302,flight attendant,客室乗務員,elementary
303,florist,フローリスト、生花店経営者,elementary
304,hero,英雄、ヒーロー,elementary
305,job,職、仕事,elementary
306,king,王,elementary
307,nurse,看護師,elementary
308,nursery school teacher,保育園の先生,elementary
309,pilot,パイロット,elementary
310,player,選手、演奏者,elementary
311,police officer,警察官,elementary
312,queen,女王,elementary
313,scientist,科学者,elementary
314,singer,歌手,elementary
315,teacher,先生、教師,elementary
316,vet,獣医,elementary
317,zookeeper,動物園の飼育係,elementary
318,bag,バッグ、かばん,elementary
319,bath,ふろ、入浴,elementary
320,bed,ベッド,elementary
321,book,本,elementary
322,box,箱,elementary
323,calendar,カレンダー,elementary
324,cap,(縁なしの) 帽子,elementary
325,card,カード,elementary
326,clock,時計,elementary
327,comic book,マンガ本,elementary
328,computer,コンピューター,elementary
329,cooking,料理,elementary
330,crayon,クレヨン,elementary
331,cup,カップ,elementary
332,dish,皿、皿に盛られた料理,elementary
333,dream,夢,elementary
334,entrance,入口、玄関,elementary
335,game,ゲーム、試合,elementary
336,garbage,くず、生ごみ,elementary
337,hat,(緑のある) 帽子,elementary
338,home,家(住んでいる場所),elementary
339,house,家(建物自体),elementary
340,ink,インク,elementary
341,jacket,上着、ジャケット,elementary
342,life,生活,elementary
343,mark,マーク、記号,elementary
344,map,地図,elementary
345,movie,映画,elementary
346,news,ニュース,elementary
347,newspaper,新聞,elementary
348,pants,ズボン,elementary
349,picture,絵、写真,elementary
350,raincoat,レインコート,elementary
351,room,部屋,elementary
352,shirt,シャツ,elementary
353,shoe,靴,elementary
354,shorts,半ズボン,elementary
355,song,歌,elementary
356,sweater,セーター,elementary
357,table,テーブル,elementary
358,telephone,電話,elementary
359,T-shirt,Tシャツ,elementary
360,TV,テレビ,elementary
361,umbrella,傘,elementary
362,weather,天気、天候,elementary
363,wheelchair,車いす,elementary
364,black,黒（い）,elementary
365,blue,青（い）,elementary
366,brown,茶（色い）,elementary
367,color,色,elementary
368,green,緑色（の）,elementary
369,pink,ピンク色（の）,elementary
370,purple,紫色（の）,elementary
371,red,赤（い）,elementary
372,white,白（い）,elementary
373,yellow,黄色（い）,elementary
374,circle,円、丸,elementary
375,diamond,ひし形,elementary
376,heart,ハート形,elementary
377,rectangle,長方形,elementary
378,square,正方形,elementary
379,star,星,elementary
380,triangle,三角形,elementary
381,autumn,秋,elementary
382,fall,秋,elementary
383,season,季節,elementary
384,spring,春,elementary
385,Star Festival,七夕,elementary
386,summer,夏,elementary
387,vacation,休暇,elementary
388,winter,冬,elementary
389,April,4月,elementary
390,August,8月,elementary
391,December,12月,elementary
392,February,2月,elementary
393,January,1月,elementary
394,July,7月,elementary
395,June,6月,elementary
396,March,3月,elementary
397,May,5月,elementary
398,November,11月,elementary
399,October,10月,elementary
400,September,9月,elementary
401,birthday,誕生日,elementary
402,day,日、1日,elementary
403,Friday,金曜日,elementary
404,Monday,月曜日,elementary
405,month,(年月の)月,elementary
406,Saturday,土曜日,elementary
407,Sunday,日曜日,elementary
408,Thursday,木曜日,elementary
409,Tuesday,火曜日,elementary
410,Wednesday,水曜日,elementary
411,week,週,elementary
412,year,年、1年,elementary
413,afternoon,午後,elementary
414,future,未来,elementary
415,morning,朝、午前,elementary
416,night,夜,elementary
417,time,時間、時期,elementary
418,America,アメリカ合衆国,elementary
419,Australia,オーストラリア,elementary
420,Brazil,ブラジル,elementary
421,Canada,カナダ,elementary
422,China,中国,elementary
423,country,国,elementary
424,Egypt,エジプト,elementary
425,France,フランス,elementary
426,Germany,ドイツ,elementary
427,India,インド,elementary
428,Italy,イタリア,elementary
429,Japan,日本,elementary
430,Korea,韓国,elementary
431,Russia,ロシア連邦,elementary
432,Spain,スペイン,elementary
433,U.K.,イギリス,elementary
434,USA,アメリカ合衆国,elementary
435,world,世界,elementary
436,animal,動物,elementary
437,bear,クマ,elementary
438,bird,鳥,elementary
439,cat,ネコ,elementary
440,chicken,ニワトリ、鶏肉,elementary
441,cow,雌牛,elementary
442,dog,イヌ,elementary
443,elephant,ゾウ,elementary
444,fish,魚,elementary
445,frog,カエル,elementary
446,gorilla,ゴリラ,elementary
447,horse,馬,elementary
448,koala,コアラ,elementary
449,lion,ライオン,elementary
450,monkey,サル,elementary
451,mouse,ネズミ,elementary
452,panda,パンダ,elementary
453,penguin,ペンギン,elementary
454,pet,ペット,elementary
455,pig,ブタ,elementary
456,rabbit,ウサギ,elementary
457,sheep,羊,elementary
458,snake,ヘビ,elementary
459,spider,クモ,elementary
460,tiger,トラ,elementary
461,camping,キャンプすること,elementary
462,cycling,サイクリング,elementary
463,drum,ドラム、太鼓,elementary
464,festival,祭り,elementary
465,firework,花火,elementary
466,fishing,釣り,elementary
467,guitar,ギター,elementary
468,hiking,ハイキング,elementary
469,jogging,ジョギング,elementary
470,piano,ピアノ,elementary
471,picnic,ピクニック,elementary
472,recorder,リコーダー,elementary
473,shopping,買いもの,elementary
474,Snow Festival,雪祭り,elementary
475,trip,旅行,elementary
476,violin,バイオリン,elementary
477,boy,少年,elementary
478,brother,兄弟、兄、弟,elementary
479,family,家族,elementary
480,father,父,elementary
481,friend,友達,elementary
482,girl,少女,elementary
483,grandfather,祖父,elementary
484,grandmother,祖母,elementary
485,grandparent,祖父母,elementary
486,mother,母,elementary
487,Mr.,（男の人に）～さん,elementary
488,Ms.,（女の人に）～さん,elementary
489,sister,姉妹、姉、妹,elementary
490,ear,耳,elementary
491,eye,目,elementary
492,face,顏,elementary
493,hand,手,elementary
494,head,頭,elementary
495,knee,ひざ,elementary
496,leg,脚,elementary
497,mouth,口,elementary
498,nose,鼻,elementary
499,shoulder,肩,elementary
500,smile,笑顔,elementary
501,teeth,歯,elementary
502,toe,つま先、足の指,elementary
503,zero,ゼロ,elementary
504,one,1（の）、〔前に出た名詞をさして〕 1つのもの,elementary
505,two,2（の）,elementary
506,three,3（の）,elementary
507,four,4（の）,elementary
508,five,5（の）,elementary
509,six,6（の）,elementary
510,seven,7（の）,elementary
511,eight,8（の）,elementary
512,nine,9（の）,elementary
513,ten,10（の）,elementary
514,eleven,11（の）,elementary
515,twelve,12（の）,elementary
516,thirteen,13（の）,elementary
517,fourteen,14（の）,elementary
518,fifteen,15（の）,elementary
519,sixteen,16（の）,elementary
520,seventeen,17（の）,elementary
521,eighteen,18（の）,elementary
522,nineteen,19（の）,elementary
523,twenty,20（の）,elementary
524,thirty,30（の）,elementary
525,forty,40（の）,elementary
526,fifty,50（の）,elementary
527,sixty,60（の）,elementary
528,seventy,70（の）,elementary
529,eighty,80（の）,elementary
530,ninety,90（の）,elementary
531,hundred,100（の）,elementary
532,first,最初（の）,elementary
533,second,2番目（の）,elementary
534,third,3番目（の）,elementary
535,badminton,バドミントン,elementary
536,ball,ボール,elementary
537,baseball,野球,elementary
538,basketball,バスケットボール,elementary
539,bat,(野球などの) バット,elementary
540,dodgeball,ドッジボール,elementary
541,football,(アメリカン) フットボール、サッカー,elementary
542,glove,グローブ、手袋,elementary
543,marathon,マラソン,elementary
544,racket,ラケット,elementary
545,rugby,ラグビー,elementary
546,soccer,サッカー,elementary
547,softball,ソフトボール,elementary
548,sport,スポーツ,elementary
549,surfing,サーフィン,elementary
550,swimming,水泳,elementary
551,table tennis,卓球,elementary
552,tennis,テニス,elementary
553,track and field,陸上競技,elementary
554,volleyball,バレーボール,elementary
555,wrestling,レスリング,elementary
556,a,1つの、1人の,elementary
557,about,～について,elementary
558,am,（私は）～である,elementary
559,an,1つの、1人の〔母音で始まる語の前で〕,elementary
560,and,～と･･･、そして,elementary
561,are,～である,elementary
562,be,"am, are, is の原形",elementary
563,can,～することができる,elementary
564,for,～のために［の］,elementary
565,goodbye,さようなら,elementary
566,he,彼は［が］,elementary
567,hello,こんにちは,elementary
568,hi,（軽いあいさつ）こんにちは,elementary
569,how,どのように,elementary
570,I,私は［が］,elementary
571,is,～である,elementary
572,it,それは［が］、それを［に］,elementary
573,let's,～しましょう,elementary
574,luck,幸運,elementary
575,me,私を［に］,elementary
576,my,私の,elementary
577,no,（返事で）いいえ,elementary
578,not,～でない,elementary
579,OK,わかりました,elementary
580,our,私たちの,elementary
581,please,どうぞ、お願いします,elementary
582,she,彼女は［が］,elementary
583,sorry,〔I'm sorry.[Sorry.] で〕ごめんなさい。,elementary
584,that,あの、あれ,elementary
585,the,その,elementary
586,this,これ、こちら,elementary
587,to,～に［へ］,elementary
588,too,～も（また）,elementary
589,was,"am, is の過去形",elementary
590,we,私たちは［が］,elementary
591,welcome,〔You're welcome. で〕 どういたしまして。,elementary
592,what,何、何の,elementary
593,when,いつ,elementary
594,where,どこに［で］,elementary
595,who,だれ、どんな人,elementary
596,why,なぜ、どうして,elementary
597,with,～と（いっしょに）,elementary
598,yes,（返事で）はい,elementary
599,you,あなた（たち）は［が］、あなた（たち）に［を］,elementary
600,your,あなた（たち）の,elementary
601,a (an),"１つの、１人の
（すぐ後ろの単語が母音で始まる時は、anを使う）",junior_high
602,able,※be able to～　　～することができる,junior_high
603,about,"①（前）～について　　　
②（副）約、だいたい",junior_high
604,above,～の上に(へ),junior_high
605,abroad,外国へ（に、で）、海外へ　　※study abroad　　留学する,junior_high
606,accept,受入れる,junior_high
607,accident,事故,junior_high
608,across,～を横切って、～の向こう側に,junior_high
609,act,行動する、（役を）演じる,junior_high
610,action,行動、動き,junior_high
611,active,活発な,junior_high
612,activity,活動,junior_high
613,actor,俳優,junior_high
614,actually,実際に、実は,junior_high
615,add,付け加える,junior_high
616,addition,つけ加えること　　　　　※in addition   加えて、さらに、そのうえ,junior_high
617,address,あて名、住所,junior_high
618,adult,大人、成人,junior_high
619,advantage,有利な立場、利点,junior_high
620,adventure,冒険,junior_high
621,advice,忠告、助言、アドバイス,junior_high
622,afraid,恐れて、こわがって　　 ※be afraid of ～　～を恐れる,junior_high
623,Africa,アフリカ,junior_high
624,after,～のあとに　　　            ※after school　放課後,junior_high
625,afternoon,午後                     　　   ※Good afternoon. こんにちは,junior_high
626,again,もう一度、また、（否定文で）二度と,junior_high
627,against,～に対して、～に反対して,junior_high
628,age,年齢,junior_high
629,ago,～前に　　　※long ago 　ずっと前に,junior_high
630,agree,賛成する、同意する   ※ agree with～　　～に賛成する,junior_high
631,air,空気、大気,junior_high
632,air conditioner,エアコン,junior_high
633,airport,空港,junior_high
634,album,アルバム,junior_high
635,all,"①（代・形）すべて（の）～、全部（の）　　
②（副）まったく、すっかり　　　※All right. 　わかました",junior_high
636,allow,許す,junior_high
637,almost,ほとんど,junior_high
638,alone,１人で、ただ～だけで,junior_high
639,along,（道・川など）に沿って,junior_high
640,already,すでに、もう,junior_high
641,also,～もまた、さらに　　※not only ～but also...  ～だけでなく...もまた,junior_high
642,ALT,外国語指導助手（Assistant Language Teacher の略）,junior_high
643,although,～だけれど,junior_high
644,always,いつも、常に,junior_high
645,am,"～である、（～に）いる、ある （主語が I の時の現在形） 
 【活用】 am - was - been    ※am ～ing  ～している",junior_high
646,a.m.,午前,junior_high
647,amazing,驚くべき、目を見張らせる,junior_high
648,America,アメリカ合衆国,junior_high
649,American,アメリカ(人)の,junior_high
650,among,～の間に（で、の）、～の中のひとりで,junior_high
651,and,～と・・・、そして～,junior_high
652,angry,怒った、怒って,junior_high
653,animal,動物,junior_high
654,animation,動画、アニメーション,junior_high
655,anime,（日本の）アニメ,junior_high
656,anniversary,記念日、～周年,junior_high
657,announce,発表する,junior_high
658,another,"もう一つ（の）、別（の）　　　
※another cup (piece) of～　～をもう一杯（一つ）",junior_high
659,answer,答え（る）,junior_high
660,any,"①（疑問文・条件文で）いくつかの～、何人かの～　
②（否定文で）１つ（の～）も、１人（の～）も～ない
③（肯定文で）どんな～も",junior_high
661,anymore,（否定文・疑問文で）もう～（でない）,junior_high
662,anyone,"①（肯定文で）誰でも  
②（疑問文で）誰か",junior_high
663,anything,"①（肯定文で）何でも  
②（疑問文で）何か",junior_high
664,anytime,いつでも,junior_high
665,anyway,とにかく,junior_high
666,anywhere,"①（肯定文で）どこにでも
②（否定文で）どこにも～ない",junior_high
667,appear,現れる,junior_high
668,apple,リンゴ,junior_high
669,April,４月,junior_high
670,architect,建築家,junior_high
671,are,"～である、（～に）いる、ある （主語が we, you, they などの複数形の時の現在形） ※are ～ing  ～している、しようとしている　
【活用】 are - were - been",junior_high
672,area,地域、地方,junior_high
673,arm,腕,junior_high
674,around,"①（前）～のまわりを（まわって）  　※around the world 　世界中
②（副）～ごろ　　　",junior_high
675,arrival,到着,junior_high
676,arrive,到着する,junior_high
677,art,美術,junior_high
678,artist,芸術家,junior_high
679,as," ①（接）～するとき　　
 ②（接）～なので　　
 ③（接）～するように
 ④（接・副）as ～ as … 　…と同じくらい～
 ⑤（前）～として",junior_high
680,Asia,アジア,junior_high
681,Asian,アジアの,junior_high
682,ask,たずねる、求める　　　※ask for～　～を求める,junior_high
683,assistant,店員、助手,junior_high
684,astronaut,宇宙飛行士,junior_high
685,at,"①（場所・時間の一点）　～に、～で　　
②～に（向かって）　　　",junior_high
686,athlete,運動選手、アスリート,junior_high
687,attack,攻撃する,junior_high
688,attend,出席する、参加する,junior_high
689,attention,注意、注目     ※pay attention to～　　～に注意を払う,junior_high
690,attract,（注意、興味など）を引きつける,junior_high
691,audience,聴衆、観客,junior_high
692,August,８月,junior_high
693,aunt,おば（父母の姉妹）,junior_high
694,Australia,オーストラリア,junior_high
695,Australian,オーストラリアの、オーストラリア人（の）,junior_high
696,autumn,秋,junior_high
697,average,平均（の）,junior_high
698,away,離れて、遠くに　　　         ※far away 遠く離れて,junior_high
699,baby,赤ちゃん                        ※have a baby  赤ちゃんが生まれる,junior_high
700,back,後ろへ、帰って　　※be back  戻る,junior_high
